strategy,scenario,clusters_used,num_clusters,num_gpus,sync_scheme,sync_interval,load_balance,effective_steps,convergence_penalty,compute_step_s,communication_step_s,comm_share,communication_volume_gb,total_time_hours,gpu_hours,dollar_cost,aggregate_tokens_per_sec,runtime_backend,trace_events,notes
single_region_fastest,world_mix,eu-west-h100,1,4,intra_only,1,proportional,1200,1.0,48.5452,0.0,0.0,0.0,16.182,64.727,362.47,43200.0,ray_actor_simulator,3,Uses only the fastest single cluster and avoids inter-region synchronization.
all_regions_flat_dp,world_mix,"us-east-a100,eu-west-h100,ap-sg-l40s",3,20,flat_all_reduce,1,uniform,1295,1.0789,18.5918,20.1518,0.5201,176120.0,13.937,278.739,880.81,136000.0,ray_actor_simulator,7,Uses all clusters with a naive flat synchronous data-parallel strategy.
all_regions_hierarchical_dp,world_mix,"us-east-a100,eu-west-h100,ap-sg-l40s",3,20,hierarchical_reduce,4,proportional,1415,1.1789,15.4202,28.313,0.3146,120275.0,8.843,176.863,558.89,136000.0,ray_actor_simulator,7,Uses all clusters with regional aggregation and less frequent global synchronization.
reference_world_mix_strategy,world_mix,"us-east-a100,eu-west-h100",2,12,hierarchical_reduce,6,proportional,1461,1.217,21.3125,17.5997,0.121,49674.0,9.84,118.077,464.44,98400.0,ray_actor_simulator,5,Avoids the highest-latency AP-SG cluster while using hierarchical synchronization across the two strongest regions.
